genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak
H251N,10,k_3,0.215443469003188,3.37627923578967,1,3304.05397932913,0.209,0.0760000000000001,0.222,0.905236528185513,0.844136693570279
H251N,10,k_3,0.464158883361278,7.27397310881959,1,5572.18120278395,0.2435,0.0800000000000001,0.242,0.890040039338017,0.790096570195285
H251N,10,k_3,1,15.6713,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881
H251N,10,k_3,2.15443469003188,33.7627923578967,0,14663.5779697812,0.667499999999984,NaN,NaN,0.702218967855944,0.527059174711674
H251N,10,k_3,4.64158883361278,72.7397310881959,0,15360.8566699938,0.668499999999984,NaN,NaN,0.481548805577296,0.415736494130075
H251N,10,k_3,10,156.713,0,14795.4827464608,0.663999999999984,NaN,NaN,0.362121493852364,0.372359357037765
H251N,10,k_5_0,0.1,114.298,0,2860.13481623406,0.669499999999984,NaN,NaN,0.832641728932121,0.759058071851229
H251N,10,k_5_0,0.215443469003188,246.247576201264,0,4561.35769632856,0.646999999999986,NaN,NaN,0.835510484992621,0.745484744911435
H251N,10,k_5_0,0.464158883361278,530.524320504273,0,6316.99029435719,0.520999999999995,NaN,NaN,0.838315067135097,0.735825433227819
H251N,10,k_5_0,1,1142.98,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881
H251N,10,k_5_0,2.15443469003188,2462.47576201264,1,10452.4683122592,0.285,0.0870000000000001,0.28,0.850242069333444,0.695913773586409
H251N,10,k_5_0,4.64158883361278,5305.24320504273,1,12283.0485421707,0.2605,0.053,0.234,0.858322931924265,0.68346543975353
H251N,10,k_5_0,10,11429.8,1,13671.5836304728,0.246,0.039,0.214,0.865203420474849,0.675150017595931
H251N,10,k_4_0,0.1,1.00338,0,9386.95086770211,0.592999999999992,NaN,NaN,0.825908966140348,0.690987108826479
H251N,10,k_4_0,0.215443469003188,2.16171667928419,0,9159.18189100156,0.559499999999994,NaN,NaN,0.828275457471696,0.696632644077181
H251N,10,k_4_0,0.464158883361278,4.65727740387039,0,8634.91251520757,0.489999999999996,NaN,NaN,0.83323487802077,0.709313371110026
H251N,10,k_4_0,1,10.0338,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881
H251N,10,k_4_0,2.15443469003188,21.6171667928419,1,8117.90432744726,0.2875,0.117,0.307,0.860750229782376,0.725213773486136
H251N,10,k_4_0,4.64158883361278,46.5727740387039,1,7687.19994182716,0.252,0.0790000000000001,0.248,0.881369501821923,0.743904688567686
H251N,10,k_4_0,10,100.338,1,6481.85839843744,0.2195,0.0700000000000001,0.221,0.895583249880087,0.772131290801841
H251N,10,k_7_1,0.1,0.0617297,1,8654.53498926077,0.34,0.301999999999989,0.516999999999989,0.841730894018803,0.706921085879452
H251N,10,k_7_1,0.215443469003188,0.132992607085261,1,8612.54608485853,0.3405,0.306999999999989,0.521999999999989,0.841954228767648,0.707726766677267
H251N,10,k_7_1,0.464158883361278,0.286523886222267,1,8520.82827420689,0.3415,0.317999999999987,0.533999999999987,0.842399897668114,0.709715007604665
H251N,10,k_7_1,1,0.617297,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881
H251N,10,k_7_1,2.15443469003188,1.32992607085261,0,7887.30610543113,0.3575,NaN,NaN,0.844298185772054,0.723931251752126
H251N,10,k_7_1,4.64158883361278,2.86523886222267,0,7155.32975708956,0.484999999999996,NaN,NaN,0.844629376879056,0.742100331157623
H251N,10,k_7_1,10,6.17297,0,7230.45313480818,0.622999999999989,NaN,NaN,0.842391690785685,0.74378265940626
H251N,10,k_7_2,0.1,0.189224,1,3264.22273743076,0.2825,0.213,0.396,0.882044992278689,0.802879514490409
H251N,10,k_7_2,0.215443469003188,0.407670749786593,1,3592.94975176273,0.282,0.211,0.394,0.880601742298777,0.795437622652501
H251N,10,k_7_2,0.464158883361278,0.878300005451545,1,5682.39605092736,0.2855,0.191,0.376,0.870117269321994,0.755748814979671
H251N,10,k_7_2,1,1.89224,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881
H251N,10,k_7_2,2.15443469003188,4.07670749786593,0,8704.08969281929,0.3855,NaN,NaN,0.839142502612545,0.7087687248377
H251N,10,k_7_2,4.64158883361278,8.78300005451544,0,8733.1469513147,0.393,NaN,NaN,0.838812888435863,0.708381075010064
H251N,10,k_7_2,10,18.9224,0,8736.31136661605,0.395,NaN,NaN,0.838745954768573,0.708239835391277
H251N,10,k_7_3,0.1,0.490732,1,3203.8944351436,0.2825,0.214,0.396,0.882342199468263,0.804146489881262
