genotype,ratio,parameter,fold,value,valid,peak,time_to_peak,relax_half_time,fwhm,srx_rest,srx_peak,scale_mode,target_peak,target_time_to_peak,target_relax_half_time,peak_error,tpeak_error,relax_error,total_score
H251N,10,k_4_0,0.464158883361278,4.65727740387039,0,8703.88228223511,0.590499999999987,NaN,NaN,0.83323487802077,0.708409893683489,p95,3041.80273612007,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_4_0,0.464158883361278,4.65727740387039,0,8703.88228223511,0.590499999999987,NaN,NaN,0.83323487802077,0.708409893683489,least_squares,3325.87523837113,0.333,0.136,NaN,NaN,NaN,Inf
H251N,10,k_4_0,1,10.0338,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,peak,2994.60909783253,0.333,0.136,1.77809151176127,0.0360360360360357,1.58088235294105,5.66209703393112
H251N,10,k_4_0,1,10.0338,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,p95,3041.80273612007,0.333,0.136,1.7349893590875,0.0360360360360357,1.58088235294105,5.51067568588048
H251N,10,k_4_0,1,10.0338,1,8319.29811573164,0.345,0.350999999999983,0.569999999999984,0.843203522925647,0.714120985129881,least_squares,3325.87523837113,0.333,0.136,1.50138610725701,0.0360360360360357,1.58088235294105,4.75464785279798
H251N,10,k_4_0,2.15443469003188,21.6171667928419,1,8117.90432744726,0.2875,0.117,0.307,0.860750229782376,0.725213773486136,peak,2994.60909783253,0.333,0.136,1.71083939914659,-0.136636636636637,-0.139705882352941,2.96515875370766
H251N,10,k_4_0,2.15443469003188,21.6171667928419,1,8117.90432744726,0.2875,0.117,0.307,0.860750229782376,0.725213773486136,p95,3041.80273612007,0.333,0.136,1.66878066452197,-0.136636636636637,-0.139705882352941,2.82301621031776
H251N,10,k_4_0,2.15443469003188,21.6171667928419,1,8117.90432744726,0.2875,0.117,0.307,0.860750229782376,0.725213773486136,least_squares,3325.87523837113,0.333,0.136,1.44083248637524,-0.136636636636637,-0.139705882352941,2.11418555782965
H251N,10,k_4_0,4.64158883361278,46.5727740387039,1,7687.19994182716,0.252,0.0790000000000001,0.248,0.881369501821923,0.743904688567686,peak,2994.60909783253,0.333,0.136,1.56701281893222,-0.243243243243244,-0.419117647058824,2.69035605215753
H251N,10,k_4_0,4.64158883361278,46.5727740387039,1,7687.19994182716,0.252,0.0790000000000001,0.248,0.881369501821923,0.743904688567686,p95,3041.80273612007,0.333,0.136,1.52718555695445,-0.243243243243244,-0.419117647058824,2.56712260282989
